,Rank,Player 1,Player 2,Stage,Winner
2062,diamond-diamond,Sheik,Mr. Game & Watch,Fountain of Dreams,Player 2
2063,master-diamond,Falco,Marth,Battlefield,Player 2
2064,master-master,Fox,Sheik,Final Destination,Player 1
2065,platinum-diamond,Ness,Ness,Yoshi’s Story,Player 2
2066,platinum-platinum,Marth,Captain Falcon,Fountain of Dreams,Player 1
2067,diamond-diamond,Mewtwo,Pikachu,Yoshi’s Story,Player 2
2068,master-diamond,Fox,Luigi,Final Destination,Player 2
2069,platinum-platinum,Marth,Peach,Battlefield,Player 2
2070,platinum-diamond,Falco,Sheik,Yoshi’s Story,Player 2
2071,diamond-diamond,Samus,Sheik,Fountain of Dreams,Player 2
2072,platinum-diamond,Peach,Mewtwo,Yoshi’s Story,Player 1
2073,platinum-diamond,Captain Falcon,Luigi,Fountain of Dreams,Player 2
2074,master-diamond,Falco,Fox,Final Destination,Player 1
2075,master-master,Sheik,Fox,Pokémon Stadium,Player 2
2076,master-platinum,Sheik,Fox,Final Destination,Player 2
2077,master-diamond,Captain Falcon,Falco,Battlefield,Player 1
2078,platinum-diamond,Sheik,Bowser,Fountain of Dreams,Player 1
2079,master-platinum,Donkey Kong,Fox,Yoshi’s Story,Player 1
2080,platinum-diamond,Young Link,Captain Falcon,Yoshi’s Story,Player 2
2081,master-diamond,Jigglypuff,Fox,Final Destination,Player 1
2082,master-diamond,Mr. Game & Watch,Ganondorf,Yoshi’s Story,Player 2
2083,platinum-platinum,Sheik,Peach,Battlefield,Player 1
2084,diamond-diamond,Captain Falcon,Peach,Pokémon Stadium,Player 1
2085,master-platinum,Marth,Sheik,Final Destination,Player 2
2086,master-platinum,Donkey Kong,Marth,Yoshi’s Story,Player 2
2087,platinum-platinum,Falco,Falco,Final Destination,Player 1
2088,master-platinum,Falco,Samus,Battlefield,Player 1
2089,platinum-platinum,Captain Falcon,Sheik,Final Destination,Player 1
2090,platinum-platinum,Jigglypuff,Captain Falcon,Final Destination,Player 1
2091,platinum-platinum,Peach,Falco,Final Destination,Player 1
2092,platinum-platinum,Falco,Falco,Yoshi’s Story,Player 1
2093,master-platinum,Jigglypuff,Captain Falcon,Pokémon Stadium,Player 1
2094,master-diamond,Marth,Falco,Final Destination,Player 1
2095,diamond-diamond,Dr. Mario,Ness,Yoshi’s Story,Player 1
2096,master-master,Falco,Fox,Yoshi’s Story,Player 1
2097,master-diamond,Pikachu,Fox,Fountain of Dreams,Player 1
2098,master-master,Marth,Marth,Final Destination,Player 2
2099,master-diamond,Sheik,Sheik,Final Destination,Player 2
2100,master-platinum,Luigi,Marth,Final Destination,Player 2
2101,master-diamond,Fox,Ness,Battlefield,Player 2
2102,master-diamond,Captain Falcon,Falco,Final Destination,Player 1
2103,platinum-diamond,Marth,Luigi,Fountain of Dreams,Player 1
2104,master-diamond,Sheik,Falco,Battlefield,Player 1
2105,diamond-diamond,Ganondorf,Captain Falcon,Final Destination,Player 2
2106,master-platinum,Falco,Fox,Final Destination,Player 2
2107,diamond-diamond,Fox,Fox,Pokémon Stadium,Player 2
2108,platinum-platinum,Fox,Falco,Battlefield,Player 1
2109,master-master,Marth,Jigglypuff,Battlefield,Player 1
2110,diamond-diamond,Ganondorf,Falco,Final Destination,Player 1
2111,master-diamond,Captain Falcon,Marth,Pokémon Stadium,Player 1
2112,master-master,Falco,Jigglypuff,Final Destination,Player 2
2113,platinum-diamond,Falco,Captain Falcon,Final Destination,Player 2
2114,diamond-diamond,Fox,Yoshi,Yoshi’s Story,Player 2
2115,diamond-diamond,Fox,Falco,Pokémon Stadium,Player 2
2116,platinum-platinum,Falco,Fox,Yoshi’s Story,Player 2
2117,master-platinum,Luigi,Fox,Fountain of Dreams,Player 1
2118,diamond-diamond,Marth,Fox,Dream Land,Player 2
2119,diamond-diamond,Marth,Ice Climbers,Pokémon Stadium,Player 1
2120,master-platinum,Fox,Fox,Final Destination,Player 1
2121,platinum-platinum,Fox,Marth,Fountain of Dreams,Player 2
2122,diamond-diamond,Fox,Falco,Yoshi’s Story,Player 1
2123,platinum-platinum,Fox,Peach,Final Destination,Player 2
2124,diamond-diamond,Fox,Link,Fountain of Dreams,Player 1
2125,master-platinum,Fox,Falco,Battlefield,Player 2
2126,master-diamond,Sheik,Marth,Final Destination,Player 1
2127,platinum-platinum,Captain Falcon,Fox,Pokémon Stadium,Player 1
2128,master-diamond,Yoshi,Fox,Final Destination,Player 1
2129,master-diamond,Jigglypuff,Jigglypuff,Dream Land,Player 2
2130,master-platinum,Sheik,Jigglypuff,Battlefield,Player 2
2131,platinum-platinum,Sheik,Jigglypuff,Final Destination,Player 1
2132,platinum-diamond,Peach,Fox,Final Destination,Player 1
2133,master-master,Captain Falcon,Falco,Yoshi’s Story,Player 2
2134,master-diamond,Fox,Fox,Yoshi’s Story,Player 1
2135,master-master,Fox,Fox,Yoshi’s Story,Player 1
2136,master-platinum,Yoshi,Peach,Fountain of Dreams,Player 1
2137,diamond-diamond,Falco,Mr. Game & Watch,Final Destination,Player 2
2138,platinum-diamond,Falco,Jigglypuff,Fountain of Dreams,Player 1
2139,platinum-diamond,Bowser,Falco,Battlefield,Player 1
2140,diamond-diamond,Dr. Mario,Falco,Pokémon Stadium,Player 1
2141,platinum-diamond,Fox,Falco,Dream Land,Player 2
2142,platinum-platinum,Falco,Falco,Dream Land,Player 1
2143,master-platinum,Fox,Fox,Yoshi’s Story,Player 1
2144,diamond-diamond,Jigglypuff,Falco,Final Destination,Player 2
2145,master-diamond,Falco,Fox,Yoshi’s Story,Player 2
2146,platinum-platinum,Fox,Falco,Dream Land,Player 2
2147,master-diamond,Ganondorf,Fox,Pokémon Stadium,Player 2
2148,master-diamond,Jigglypuff,Fox,Dream Land,Player 2
2149,master-diamond,Fox,Captain Falcon,Battlefield,Player 1
2150,master-platinum,Falco,Jigglypuff,Yoshi’s Story,Player 2
2151,master-platinum,Falco,Sheik,Final Destination,Player 1
2152,master-diamond,Sheik,Sheik,Final Destination,Player 2
2153,master-platinum,Ganondorf,Falco,Yoshi’s Story,Player 2
2154,platinum-platinum,Captain Falcon,Falco,Final Destination,Player 2
2155,diamond-diamond,Samus,Ness,Fountain of Dreams,Player 2
2156,master-diamond,Ganondorf,Falco,Pokémon Stadium,Player 1
2157,master-diamond,Marth,Jigglypuff,Final Destination,Player 2
2158,platinum-platinum,Fox,Fox,Battlefield,Player 1
2159,platinum-diamond,Marth,Bowser,Dream Land,Player 2
2160,platinum-platinum,Captain Falcon,Marth,Yoshi’s Story,Player 2
2161,master-platinum,Ganondorf,Marth,Yoshi’s Story,Player 1
2162,diamond-diamond,Mario,Falco,Battlefield,Player 2
2163,platinum-diamond,Marth,Fox,Pokémon Stadium,Player 2
2164,diamond-diamond,Sheik,Falco,Final Destination,Player 2
2165,platinum-platinum,Falco,Peach,Battlefield,Player 2
2166,master-diamond,Falco,Jigglypuff,Fountain of Dreams,Player 1
2167,platinum-diamond,Sheik,Falco,Yoshi’s Story,Player 2
2168,master-master,Fox,Fox,Yoshi’s Story,Player 2
2169,platinum-platinum,Sheik,Fox,Dream Land,Player 1
2170,master-master,Marth,Captain Falcon,Final Destination,Player 2
2171,diamond-diamond,Ice Climbers,Falco,Final Destination,Player 1
2172,master-diamond,Fox,Marth,Yoshi’s Story,Player 1
2173,master-diamond,Captain Falcon,Fox,Pokémon Stadium,Player 2
2174,master-diamond,Falco,Sheik,Dream Land,Player 2
2175,master-master,Ganondorf,Jigglypuff,Final Destination,Player 2
2176,diamond-diamond,Mewtwo,Dr. Mario,Final Destination,Player 2
2177,master-master,Fox,Falco,Final Destination,Player 2
2178,platinum-diamond,Falco,Jigglypuff,Pokémon Stadium,Player 1
2179,diamond-diamond,Jigglypuff,Sheik,Yoshi’s Story,Player 2
2180,master-platinum,Falco,Falco,Yoshi’s Story,Player 1
2181,platinum-diamond,Falco,Ice Climbers,Final Destination,Player 2
2182,diamond-diamond,Captain Falcon,Falco,Final Destination,Player 2
2183,master-diamond,Sheik,Sheik,Final Destination,Player 1
2184,diamond-diamond,Peach,Ness,Final Destination,Player 2
2185,platinum-platinum,Fox,Falco,Dream Land,Player 1
2186,master-platinum,Pikachu,Falco,Final Destination,Player 1
2187,master-platinum,Captain Falcon,Fox,Final Destination,Player 1
2188,master-master,Jigglypuff,Captain Falcon,Yoshi’s Story,Player 2
2189,diamond-diamond,Falco,Fox,Final Destination,Player 1
2190,platinum-platinum,Sheik,Falco,Fountain of Dreams,Player 2
2191,platinum-diamond,Fox,Fox,Yoshi’s Story,Player 1
2192,master-platinum,Marth,Dr. Mario,Pokémon Stadium,Player 1
2193,platinum-platinum,Fox,Peach,Pokémon Stadium,Player 2
2194,platinum-diamond,Captain Falcon,Jigglypuff,Final Destination,Player 2
2195,master-diamond,Captain Falcon,Sheik,Pokémon Stadium,Player 1
2196,platinum-platinum,Fox,Falco,Pokémon Stadium,Player 2
2197,diamond-diamond,Falco,Falco,Yoshi’s Story,Player 1
2198,platinum-diamond,Captain Falcon,Captain Falcon,Fountain of Dreams,Player 2
2199,master-platinum,Falco,Jigglypuff,Pokémon Stadium,Player 2
2200,master-master,Fox,Samus,Yoshi’s Story,Player 2
2201,master-diamond,Jigglypuff,Fox,Battlefield,Player 1
2202,master-diamond,Jigglypuff,Peach,Yoshi’s Story,Player 2
2203,master-diamond,Falco,Fox,Final Destination,Player 1
2204,master-platinum,Fox,Falco,Pokémon Stadium,Player 1
2205,diamond-diamond,Falco,Fox,Pokémon Stadium,Player 2
2206,master-diamond,Falco,Marth,Battlefield,Player 2
2207,master-diamond,Falco,Link,Pokémon Stadium,Player 2
2208,diamond-diamond,Marth,Young Link,Final Destination,Player 2
2209,master-master,Fox,Ice Climbers,Yoshi’s Story,Player 2
2210,diamond-diamond,Falco,Marth,Final Destination,Player 2
2211,master-diamond,Fox,Yoshi,Final Destination,Player 2
2212,master-diamond,Ness,Fox,Dream Land,Player 2
2213,master-platinum,Jigglypuff,Sheik,Yoshi’s Story,Player 1
2214,master-diamond,Mr. Game & Watch,Mr. Game & Watch,Fountain of Dreams,Player 2
2215,master-master,Dr. Mario,Donkey Kong,Pokémon Stadium,Player 1
2216,platinum-diamond,Marth,Falco,Final Destination,Player 1
2217,platinum-platinum,Ganondorf,Luigi,Dream Land,Player 1
2218,platinum-platinum,Captain Falcon,Young Link,Battlefield,Player 2
2219,master-master,Fox,Yoshi,Battlefield,Player 1
2220,platinum-platinum,Peach,Falco,Yoshi’s Story,Player 1
2221,diamond-diamond,Falco,Peach,Final Destination,Player 2
2222,platinum-diamond,Captain Falcon,Fox,Dream Land,Player 1
2223,master-platinum,Falco,Ice Climbers,Final Destination,Player 2
2224,master-diamond,Jigglypuff,Falco,Battlefield,Player 2
2225,master-diamond,Dr. Mario,Fox,Fountain of Dreams,Player 2
2226,diamond-diamond,Fox,Jigglypuff,Final Destination,Player 2
2227,platinum-diamond,Fox,Sheik,Final Destination,Player 1
2228,master-diamond,Falco,Fox,Yoshi’s Story,Player 1
2229,master-diamond,Falco,Sheik,Dream Land,Player 2
2230,master-diamond,Captain Falcon,Marth,Final Destination,Player 2
2231,master-master,Falco,Marth,Yoshi’s Story,Player 2
2232,diamond-diamond,Captain Falcon,Peach,Final Destination,Player 2
2233,platinum-diamond,Sheik,Marth,Final Destination,Player 1
2234,master-platinum,Marth,Link,Pokémon Stadium,Player 2
2235,master-diamond,Captain Falcon,Sheik,Final Destination,Player 2
2236,diamond-diamond,Ice Climbers,Fox,Pokémon Stadium,Player 1
2237,diamond-diamond,Falco,Jigglypuff,Final Destination,Player 2
2238,platinum-platinum,Dr. Mario,Fox,Dream Land,Player 2
2239,platinum-platinum,Ice Climbers,Falco,Pokémon Stadium,Player 2
2240,master-diamond,Fox,Falco,Yoshi’s Story,Player 2
2241,master-platinum,Fox,Fox,Pokémon Stadium,Player 1
2242,master-diamond,Fox,Marth,Fountain of Dreams,Player 2
2243,master-diamond,Luigi,Fox,Final Destination,Player 1
2244,master-master,Marth,Young Link,Final Destination,Player 1
2245,master-diamond,Marth,Mr. Game & Watch,Final Destination,Player 2
2246,master-platinum,Fox,Jigglypuff,Dream Land,Player 2
2247,platinum-diamond,Fox,Falco,Final Destination,Player 2
2248,platinum-platinum,Marth,Falco,Pokémon Stadium,Player 2
2249,platinum-platinum,Jigglypuff,Peach,Final Destination,Player 2
2250,master-diamond,Jigglypuff,Marth,Fountain of Dreams,Player 1
2251,master-master,Fox,Sheik,Fountain of Dreams,Player 1
2252,master-platinum,Sheik,Falco,Pokémon Stadium,Player 2
2253,diamond-diamond,Falco,Sheik,Fountain of Dreams,Player 1
2254,master-master,Pikachu,Falco,Yoshi’s Story,Player 1
2255,master-diamond,Falco,Sheik,Final Destination,Player 2
2256,diamond-diamond,Jigglypuff,Captain Falcon,Pokémon Stadium,Player 2
2257,platinum-diamond,Fox,Falco,Yoshi’s Story,Player 2
2258,diamond-diamond,Samus,Jigglypuff,Yoshi’s Story,Player 1
2259,master-diamond,Fox,Fox,Final Destination,Player 2
2260,master-platinum,Falco,Jigglypuff,Final Destination,Player 1
2261,master-diamond,Peach,Sheik,Battlefield,Player 2
2262,diamond-diamond,Peach,Sheik,Yoshi’s Story,Player 2
2263,diamond-diamond,Falco,Fox,Yoshi’s Story,Player 1
2264,master-master,Falco,Fox,Final Destination,Player 2
2265,master-platinum,Peach,Donkey Kong,Final Destination,Player 1
2266,diamond-diamond,Ice Climbers,Fox,Fountain of Dreams,Player 2
2267,diamond-diamond,Fox,Fox,Final Destination,Player 2
2268,master-master,Captain Falcon,Fox,Pokémon Stadium,Player 2
2269,platinum-platinum,Falco,Falco,Final Destination,Player 1
2270,master-diamond,Jigglypuff,Ganondorf,Dream Land,Player 2
2271,master-master,Marth,Captain Falcon,Battlefield,Player 2
2272,platinum-diamond,Falco,Falco,Pokémon Stadium,Player 2
2273,platinum-diamond,Sheik,Yoshi,Final Destination,Player 2
2274,master-platinum,Yoshi,Sheik,Yoshi’s Story,Player 1
2275,platinum-platinum,Fox,Marth,Fountain of Dreams,Player 1
2276,master-master,Falco,Fox,Battlefield,Player 2
2277,platinum-diamond,Fox,Link,Yoshi’s Story,Player 2
2278,master-platinum,Ganondorf,Young Link,Yoshi’s Story,Player 2
2279,platinum-platinum,Jigglypuff,Luigi,Final Destination,Player 2
2280,master-diamond,Captain Falcon,Sheik,Dream Land,Player 2
2281,master-master,Fox,Falco,Pokémon Stadium,Player 2
2282,diamond-diamond,Marth,Samus,Fountain of Dreams,Player 1
2283,master-diamond,Fox,Fox,Pokémon Stadium,Player 2
2284,master-platinum,Captain Falcon,Yoshi,Final Destination,Player 2
2285,diamond-diamond,Marth,Jigglypuff,Final Destination,Player 1
2286,master-master,Captain Falcon,Jigglypuff,Final Destination,Player 1
2287,master-platinum,Jigglypuff,Fox,Pokémon Stadium,Player 2
2288,master-platinum,Fox,Fox,Final Destination,Player 1
2289,master-master,Jigglypuff,Samus,Pokémon Stadium,Player 2
2290,master-master,Falco,Fox,Dream Land,Player 2
2291,master-master,Falco,Samus,Final Destination,Player 1
2292,master-diamond,Peach,Marth,Final Destination,Player 1
2293,master-master,Fox,Fox,Final Destination,Player 1
2294,master-platinum,Fox,Fox,Dream Land,Player 2
2295,platinum-diamond,Fox,Mr. Game & Watch,Yoshi’s Story,Player 2
2296,diamond-diamond,Fox,Samus,Pokémon Stadium,Player 1
2297,platinum-platinum,Luigi,Yoshi,Fountain of Dreams,Player 2
2298,platinum-platinum,Fox,Fox,Yoshi’s Story,Player 1
2299,platinum-diamond,Bowser,Ice Climbers,Pokémon Stadium,Player 1
2300,master-master,Fox,Fox,Final Destination,Player 1
2301,diamond-diamond,Fox,Fox,Pokémon Stadium,Player 1
2302,platinum-diamond,Fox,Ice Climbers,Battlefield,Player 2
2303,platinum-diamond,Mr. Game & Watch,Falco,Final Destination,Player 2
2304,master-master,Jigglypuff,Fox,Yoshi’s Story,Player 1
2305,diamond-diamond,Peach,Fox,Final Destination,Player 2
2306,diamond-diamond,Captain Falcon,Peach,Fountain of Dreams,Player 2
2307,master-platinum,Captain Falcon,Samus,Pokémon Stadium,Player 1
2308,platinum-platinum,Dr. Mario,Falco,Yoshi’s Story,Player 2
2309,diamond-diamond,Falco,Mewtwo,Final Destination,Player 1
2310,master-diamond,Ice Climbers,Ganondorf,Battlefield,Player 1
2311,diamond-diamond,Ness,Zelda/Sheik,Pokémon Stadium,Player 1
2312,master-platinum,Falco,Fox,Yoshi’s Story,Player 1
2313,master-platinum,Peach,Falco,Final Destination,Player 2
2314,master-master,Fox,Jigglypuff,Yoshi’s Story,Player 2
2315,master-diamond,Fox,Fox,Yoshi’s Story,Player 1
2316,master-master,Falco,Fox,Final Destination,Player 1
2317,master-diamond,Jigglypuff,Fox,Battlefield,Player 2
2318,master-diamond,Fox,Ganondorf,Final Destination,Player 1
2319,master-master,Fox,Captain Falcon,Final Destination,Player 1
2320,master-platinum,Falco,Fox,Final Destination,Player 2
2321,platinum-diamond,Captain Falcon,Falco,Battlefield,Player 1
2322,diamond-diamond,Mr. Game & Watch,Falco,Final Destination,Player 1
2323,platinum-platinum,Falco,Fox,Yoshi’s Story,Player 1
2324,diamond-diamond,Falco,Falco,Dream Land,Player 1
2325,master-platinum,Captain Falcon,Dr. Mario,Final Destination,Player 1
2326,master-platinum,Jigglypuff,Fox,Yoshi’s Story,Player 1
2327,master-master,Sheik,Sheik,Final Destination,Player 1
2328,platinum-diamond,Fox,Mario,Final Destination,Player 2
2329,diamond-diamond,Fox,Luigi,Final Destination,Player 1
2330,platinum-diamond,Sheik,Mewtwo,Final Destination,Player 2
2331,master-master,Luigi,Yoshi,Pokémon Stadium,Player 1
2332,master-master,Captain Falcon,Captain Falcon,Final Destination,Player 2
2333,master-diamond,Luigi,Falco,Fountain of Dreams,Player 2
2334,platinum-platinum,Fox,Sheik,Fountain of Dreams,Player 2
2335,diamond-diamond,Peach,Samus,Pokémon Stadium,Player 2
2336,platinum-diamond,Fox,Falco,Final Destination,Player 2
2337,master-platinum,Marth,Falco,Pokémon Stadium,Player 2
2338,diamond-diamond,Ness,Fox,Dream Land,Player 2
2339,master-master,Peach,Peach,Yoshi’s Story,Player 2
2340,platinum-platinum,Fox,Peach,Final Destination,Player 2
2341,diamond-diamond,Sheik,Marth,Fountain of Dreams,Player 1
2342,master-diamond,Yoshi,Marth,Pokémon Stadium,Player 1
2343,diamond-diamond,Fox,Ness,Final Destination,Player 1
2344,diamond-diamond,Falco,Mewtwo,Battlefield,Player 2
2345,master-master,Marth,Marth,Yoshi’s Story,Player 1
2346,diamond-diamond,Falco,Captain Falcon,Pokémon Stadium,Player 1
2347,diamond-diamond,Fox,Fox,Final Destination,Player 2
2348,diamond-diamond,Captain Falcon,Ice Climbers,Pokémon Stadium,Player 2
2349,platinum-diamond,Fox,Marth,Pokémon Stadium,Player 1
2350,platinum-diamond,Yoshi,Fox,Dream Land,Player 2
2351,master-platinum,Marth,Marth,Final Destination,Player 1
2352,master-master,Sheik,Marth,Final Destination,Player 1
2353,master-diamond,Falco,Jigglypuff,Fountain of Dreams,Player 2
2354,master-platinum,Marth,Captain Falcon,Battlefield,Player 2
2355,platinum-platinum,Falco,Falco,Yoshi’s Story,Player 2
2356,master-diamond,Peach,Samus,Final Destination,Player 1
2357,master-diamond,Marth,Marth,Yoshi’s Story,Player 1
2358,master-platinum,Jigglypuff,Sheik,Final Destination,Player 2
2359,diamond-diamond,Ganondorf,Marth,Final Destination,Player 1
2360,platinum-diamond,Marth,Ganondorf,Pokémon Stadium,Player 2
2361,master-master,Fox,Fox,Pokémon Stadium,Player 2
2362,platinum-diamond,Mewtwo,Marth,Pokémon Stadium,Player 2
2363,diamond-diamond,Fox,Sheik,Dream Land,Player 2
2364,master-platinum,Falco,Fox,Dream Land,Player 2
2365,master-diamond,Jigglypuff,Captain Falcon,Final Destination,Player 1
2366,master-master,Samus,Link,Battlefield,Player 2
2367,platinum-platinum,Fox,Fox,Fountain of Dreams,Player 2
2368,diamond-diamond,Fox,Marth,Pokémon Stadium,Player 2
2369,diamond-diamond,Samus,Ness,Fountain of Dreams,Player 2
2370,platinum-platinum,Falco,Peach,Pokémon Stadium,Player 2
2371,master-diamond,Samus,Captain Falcon,Battlefield,Player 1
2372,master-master,Fox,Fox,Yoshi’s Story,Player 2
2373,master-diamond,Jigglypuff,Pikachu,Final Destination,Player 1
2374,diamond-diamond,Peach,Falco,Dream Land,Player 1
2375,master-diamond,Falco,Pikachu,Yoshi’s Story,Player 1
2376,platinum-platinum,Fox,Falco,Yoshi’s Story,Player 1
2377,diamond-diamond,Falco,Samus,Dream Land,Player 2
2378,platinum-platinum,Sheik,Fox,Final Destination,Player 1
2379,master-platinum,Fox,Falco,Dream Land,Player 2
